address,price,beds,baths,sqft,url,description,type,page_number,neighborhood,scraped_date
"Milo on Morton | 1801 Morton Ave, Los Angeles, CA","$2,800+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/milo-on-morton/CkCNbb/,"Milo on Morton is a collection of 3 apartment buildings featuring 66 one, two, and three-bedroom apartments located in Echo Park. This expansive community is an exciting home for those who desire to be a little closer to nature. Milo on Morton has 3 outdoor courtyards and is walking distance to both Elysian Park and the Baxter stairs.After your morning hike, you can unwind at the best bars and restaurants that Echo Park has to offer: visit Mohawk Bend, Masa Bakery & Cafe or Button Mash, and don't forget to catch a game at Dodger's Stadium just steps away.Milo on Morton gives you access to the best of both worlds thanks to the prime neighborhood location and secluded outdoor spaces.",Rental,1,Echo Park,2025-08-06 22:17:47
"The Angeleno | 1011 Everett St, Los Angeles, CA","$2,850+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/the-angeleno/CkMqKF/,"Now leasing! Contact us and schedule a tour today. Luxury Living, Urban Feel, Sky-High Views.

A beautiful brand-new construction property with breathtaking Los Angeles city views from DTLA all the way to the Hollywood Sign, located in the historic hillside community in Echo Park. With an elegant roof top deck with a lounge spa, BBQ's, and a communal fire pit for either soaking up the California sunshine or mingling with neighbors, a property best catered to complete relaxation. We designed our pet-friendly one, two, three, and four-bedroom units with elegance, comfort, and serenity in mind. From soothing color palettes and natural accents to designer finishes and private balconies, our luxury apartments in Echo Park were crafted to meet your every need from the moment you step through the door. All our homes offer tall windows and plenty of natural light. They each come equipped with full-size appliances and feature stunning views of the Los Angeles skyline or the lush Elysian Park. All our units are outfitted with innovative extras for added convenience and security. Think smart thermostats and smart home-entry systems for added peace of mind whether you're at home or out on the town. Whether you want to enjoy a morning coffee al fresco or an after-work glass of Cabernet, most of our units are adorned with spacious private balconies. Stainless steel appliances, designer finishes, and quartz countertops are among the myriad thoughtful details that enhance each residence. Natural materials like stone and wood complement the neutral color scheme, adding to the refined and relaxing ambiance",Rental,1,Echo Park,2025-08-06 22:17:47
"Zag Apartments | 1750 Glendale Blvd, Los Angeles, CA","$2,695+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/zag-apartments/CkBB9L/,"Luxury Echo Park Apartments! 

Move into this brand new building today! Located in beautiful Echo Park, Zag Apartments are full of details and touches designed to work with your lifestyle!

At Zag apartments we are redefining the rental experience with homes thoughtful touches like spacious nine-foot ceilings, vinyl plank flooring and premium quality lighting and finishes are as beautiful as they are functional and durable. 

Zag apartments are equipped with air conditioning to keep you cool year round and white roller shades to control privacy and brightness. LED lighting throughout living spaces and walk-in closets, polished quartz countertops, and oversized concrete-look porcelain tile backsplash complete these modern homes. The bathrooms feature engineered polished quartz countertops and bathtub ledge, porcelain floor tile and lower vanity wall tile in select homes. Wood-look flat slab cabinets with brushed nickel edge pulls and contrasting pewter interiors, frameless mirrors in bathrooms and ensuites and Taymor bathroom accessories in satin nickel.

Contact us to book your showing today!

Now offering TWO MONTHS FREE! Call for more details!",Rental,1,Echo Park,2025-08-06 22:17:47
"Skyline Terrace | 930 Figueroa Ter, Los Angeles, CA","$1,979+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/skyline-terrace/5XjRDf/,"Conveniently located in the business and cultural heart of Downtown LA, Offering one and two-bedroom contemporary hilltop homes for rent with beautiful views, spacious floor plans, and luxury living. Skyline Terrace Apartments includes sweeping views of the L.A. skyline.

Listed pricing and special offers only valid for new residents. Pricing and availability subject to change at any time.

Skyline Terrace does not warrant or represent that image renderings on this website are an accurate representation of every floor plan available at the Property. Floor plans may vary unit by unit and by location at the Property. Please contact our Leasing Office to schedule a tour of the Property and the particular unit you are interested in. Listed pricing and special offers only valid for new residents. Pricing and availability subject to change at any time.",Rental,1,Echo Park,2025-08-06 22:17:47
"Big Momma Court Apts | 1412 Echo Park Ave, Los Angeles, CA","$1,895+ Studio",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/big-momma-court-apts/CjLqSn/,"Driving up to this property you can't help but smile, the iconic exterior color jumps out and lends itself to the most Instagram-able moments. As you walk off the street you'll be transported into a world with a Mediterranean street vibe. Custom mosaic tiles inlaid into the buildings, luscious succulents, and romantic, overhead string lights -an entrance to remember! It's a magical and dreamy interior with original built-ins throughout the home.

The kitchen has ample counter and cabinet space, The living room boasts large, vintage architected windows that are breathtaking. Light pouring into your apartment and a perfect frame for the street art across Echo Park Avenue. Complete with original hardwood floors throughout, a baseboard trim and an extra storage closet. Garage available for $125 per month. Just around the corner is your recently updated bathroom. Close to art and culture of Echo Park this location is fantastic you're around the corner from all of the neighborhood treasures. One block to Sunset: you are only 5 walking minutes away from the perfect cup of coffee at Silver Back coffee, brunch at Honey Hi, lunch at Sage, afternoon vintage shopping, grocery shopping at Lassen's, dinner and drinks at Semi-Tropic, a late show at The Echo! Make this your home today! Pets will be subject to a $25/month, per pet fee, with a maximum of 2 pets per unit. For those approved applicants with ESAs or service animals related to an accommodation due to disability, no pet rent will be charged.

-Quoted security deposit is on approved credit.
-6 or 12 month - Six month lease available with $200 monthly surcharge.

Pictures in this ad are a representation and may not reflect the actual apartment that is currently available.
The rent, deposit, concession and terms listed in this ad are only valid for the actual date that this ad was initially posted.",Rental,1,Echo Park,2025-08-06 22:17:47
"1313 Sunset BLVD, 1313 W Sunset Blvd, Los Angeles, CA 90026","$2,795+/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/1313-sunset-blvd/BrJLHf/,"Come view our spacious artist lofts today! Designed for creative types, with very spacious floor plans, bright light, and soaring 16 foot high ceilings! Perfect for entertaining, or recharging after a long day.

Sip coffee on your private patio or balcony, or cook up a feast in your stainless kitchen. Large open floor plans are a perfect canvas for you to customize. Located on Sunset Blvd just below Dodger Stadium, with all the fun of Echo Park steps away. Only a short Lyft to DTLA, or Silver Lake!
New Construction Lofts with Fiber Internet, Elevator, Onsite Manager, Double Height Ceilings, All Homes offer unique floor plans with quartz counters, stainless appliances, authentic hardwood floors and In-Unit Laundry.

Available Now! Schedule your tour now. Photos do not do these gorgeous apartments with soaring ceilings justice!
The beauty of loft living is that you get to decide how to best utilize your space. These units are great for people who are creative and need a flexible space.

2019 Construction Townhouse Style Lofts Pre-Wired with Fiber Internet, 16' Soaring Ceilings, Caesarstone Counters, Polished Granite and/or Luxury Plank Hardwood Floors, Central Air Conditioning and Heat, In-Unit Laundry, In-Sink Disposal, Stainless Oven, Stainless Fridge and Dishwasher. All homes offer Balconies or Patios. All Homes Offer Unique Floor-plans. The Building includes an Elevator, Onsite Manager, EV Charging Stalls, Fiber Internet, Bicycle Storage, Central Courtyard with Drought Friendly Landscaping. Located on Sunset Blvd just below Dodger Stadium, with all the fun of Echo Park steps away. Only a short Lyft or Uber ride to DTLA!",Rental,1,Echo Park,2025-08-06 22:17:47
"The Elysian | 1115 W Sunset Blvd, Los Angeles, CA","$3,499+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/the-elysian/5gzYCh/,"Dry cleaning drop off, a unique feature, is found in just",Rental,1,Echo Park,2025-08-06 22:17:47
"980 White Knoll, 980 White Knoll Dr, Los Angeles, CA 90012","$2,400+/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/980-white-knoll/CmjMJj/,"Welcome to 980 White Knoll, nestled in Angelino Heights on a picturesque street. These units have been beautifully redone with modern finishes to offer residents modern living just minutes from Echo Park.

Flanked by Silver Lake and DTLA, Echo Park stands as one of the most historic and diverse neighborhoods in LA. Home to Dodger Stadium, Echo Park Lake, and a wide variety of dining, shopping, and outdoor destinations, Echo Park has all that an Angelino can ask for. Head down to the park and enjoy paddle-boating around the lake, or spend the afternoon thrifting at Lemon Frog Shop and grabbing a taco at Taco Zone. Steps away sits the main drag of Sunset Blvd, which continues to experience a retail, recreation and restaurant renaissance. And with easy access to the 101 Freeway, the rest of LA is at your fingertips. Contact our leasing team today to schedule a tour!",Rental,1,Echo Park,2025-08-06 22:17:47
"ECHO Lofts, True luxury Two Story Live/Work Townhouses, 1030 N Alvarado St, Los Angeles, CA 90026","$2,475+/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/echo-lofts-true-luxury-two-story-live-work-townhouses/CkCJqF/,"ECHO Lofts, True luxury Two Story Live/Work Townhouses",Rental,1,Echo Park,2025-08-06 22:17:47
"SYN - Warwick Apartments, 1828 Santa Ynez St APT 210, Los Angeles, CA 90026","$1,725/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/syn-warwick-apartments/5XnVWj/,"Fantastic Location! Come see our recently renovated apartments located steps away from Echo Park Lake! We currently have beautiful apartments featuring new caesarstone counters, stainless steel appliances, brand new cabinets, Refrigerator included, and refinished original hardwood floors in select apartments. Enjoy the conveniences of today, while enjoying the charm of the 1920s. Living in this prime location, our residents enjoy all the entertainment and dining options people have grown to love about Echo Park. Looking for adventure outside of Echo Park? Easy access to the 101, 110, 5, 2 and 10 allow you to quickly get to just about anywhere in Los Angeles. Pet Friendly! Pets will be subject to a $25/month, per pet fee, with a maximum of 2 pets per unit. For those approved applicants with ESAs or service animals related to an accommodation due to disability, no pet rent will be charged. This pricing will not last. Call us today, and start taking advantage of this great value!

Pictures in this ad are a representation and may not reflect the actual apartment that is currently available.

CHECK OUT OUR 3D VIRTUAL TOURS HERE:

-Listed security deposit is on approved credit.
-6 or 12 month lease - Six month lease available with $200 monthly surcharge. 

The rent, deposit, concession and terms listed in this ad are only valid for the actual date that this ad was initially posted.",Rental,1,Echo Park,2025-08-06 22:17:47
"Carmel Heights Apts | 1850 Morton Ave, Los Angeles, CA","$2,250+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/echo-park-ca/carmel-heights-apts/CkB9rX/,Current Special: Security Deposit begins at $500 and is a sliding scale.,Rental,1,Echo Park,2025-08-06 22:17:47
"CLM - Vista Calumet, 1324 Calumet Ave APT 205, Los Angeles, CA 90026","$1,695/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/clm-vista-calumet/5XryPb/,"Recently renovated, this historic building in a great residential neighborhood of Echo Park offers a rare combination of 1920's charm and the upgraded modern kitchens and bathrooms of today. We currently have beautiful apartments featuring new caesarstone counters, stainless steel appliances, brand new cabinets, exposed brick, and refinished original hardwood floors in select apartments. Blocks away from the recently restored Echo Park Lake, our residents enjoy the park's fishing, pedal boats, and walking paths and are right in the middle of all the entertainment and dining options Echo Park has to offer.
Looking for adventure outside of Echo Park? Easy access to the 101, 110, 5, 2 and 10 allow you to quickly get to just about anywhere in Los Angeles. Pet Friendly! Pets will be subject to a $25/month, per pet fee, with a maximum of 2 pets per unit. For those approved applicants with ESAs or service animals related to an accommodation due to disability, no pet rent will be charged. This pricing will not last. Call us today, and start taking advantage of this great value!
Pictures in this ad are a representation and may not reflect the actual apartment that is currently available.

CHECK OUT OUR 3D VIRTUAL TOURS HERE:

-Listed security deposit is on approved credit.
-6 or 12 month lease - Six month lease available with $200 monthly surcharge. 

The rent, deposit, concession and terms listed in this ad are only valid for the actual date that this ad was initially posted.",Rental,1,Echo Park,2025-08-06 22:17:47
"Del Mor | 1551 Echo Park Ave, Los Angeles, CA","$2,658+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/del-mor/5hDS2R/,"Price shown is Base Rent. Residents are required to pay: At Application: Application Fee ($35.00/applicant, nonrefundable); Holding Deposit (Refundable) ($150.00/unit); At Move-in: Security Deposit (Refundable) ($500.0-$500.0); Monthly: Water (usage-based); Sewer (usage-based); Trash Services-CA (usage-based); SCEP Fee ($2.83/unit); Renters Liability Insurance-3rd Party (varies). Please visit the property website for a full list of all optional and situational fees. Floor plans are artist's rendering. All dimensions are approximate. Actual product and specifications may vary in dimension or detail. Not all features are available in every rental home. Please see a representative for details.

Introducing Del Mor Apartments located in the artist neighborhood of Echo Park, California, an area where sophistication and creative inhabitants collide. Fronting Echo Park Avenue, this four-story, charming brick building is comprised of 44 apartment homes ranging from studios to one and two-bedroom apartment homes. Echo Park Avenue runs north-south and is one of the major retail arteries in Echo Park, attracting many high-end boutiques and restaurants. You'll love the collection of local shops and cafes located on the ground floor, including Cookbook Grocery, Counterpart Deli, Tanvin Boutique, Glowing Juices, and Shout and About. Close to major freeways -the 101 and 5, and proximate to Downtown, Dodger Stadium, Hollywood, Silver Lake, and the quaint hilly neighborhoods of Echo Park. Minutes from more boutiques and premier restaurants along iconic Sunset Blvd. Greystar California, Inc. dba Greystar Corp. License No. 1525765 Broker: Gerard S. Donohue License No. 01265072",Rental,1,Echo Park,2025-08-06 22:17:47
"1000 Everett St, Los Angeles, CA 90026","$2,350/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1000-Everett-St-Los-Angeles-CA-90026/452069773_zpid/,"Upstairs spacious unit with view of City lights. Minutes to DTLA and Dodgers stadium. Across from Everett Park.
1 gated assigned parking. Immediate occupancy, ready for move in. 
Owner pays for water, sewer and trash. Tenant pays for electricity, gas.
$35 non-refundable credit check fee upon approved applications with proof of income. No prior eviction.
Application available at showing. Showings by appointment with Wenny, call or text for appointment or questions.
Minimum 1 year lease.

Owner pays for water, trash and gardening. Tenant pays for electricity and gas. $35 per adult applicant non-refundable credit check fee upon approved application and proof of income. No prior evictions. Maximum 4 occupants. 
Submit application with photo ID a must. 
$35 refundable deposit for each parking remote control.
1 year lease minimum.Hide",Rental,2,Echo Park,2025-08-06 22:17:47
"1725 Kent St, Los Angeles, CA 90026","$2,699/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1725-Kent-St-Los-Angeles-CA-90026/20739552_zpid/,"Available 8/18/25 
Utilities (electricity, water, gas, trash) included. Easy street parking. 
Renters must have minimum income of 3x monthly rent, and a credit score of 700+

Welcome to your private Echo Park retreat. This 1-bed, 1-bath guest house offers rare privacy with no shared walls, high ceilings, new laminate floors, window AC, and in-unit washer/dryer. Part of a Triplex offers fantastic views of the iconic Echo Park Lake and downtown Los Angeles. You'll enter through a shared entrance, but once inside, the large, sunny yard feels entirely yours a serene canvas for reading, pets, or weekend entertaining. 

Utilities fully included: electricity, water, gas, and trash so no surprise costs!

Cozy kitchen with warm lighting and functional layout: ideal for simple meals or artisan coffee mornings. New laminate wood tone flooring throughout adds polish and easy upkeep. High ceilings and oversized windows fill the home with natural light, making the space feel larger and graceful. In-unit washer and dryer add top-tier convenience. 

Pet-friendly: $30/month per pet, (max two pets).

Enjoy your own front yard ideal for pets or soaking up the sun. Freshly painted inside and out. Blocks from Sunset Boulevard and close to restaurants and shopping at Target, this Echo Park home offers urban living at its finest. 

Just one block from Sunset Blvd, you're steps from Echo Park's top spots coffee at Stereoscope, pizza at Masa, cocktails at Donna's, and post-game drinks at Bar Flores. With a Walk Score of 92, Koreatown, Silver Lake, Los Feliz, and Downtown LA are all within easy reach.

Owner Pays for Electricity, Gas, Water, Trash. 
1 Year Lease
Must have no prior evictions 
Make 2.5X Rent for Income 
Street Parking Only 
No Smoking Inside 
Small Dog and Cats OK with $50/mo per Pet.Hide",Rental,2,Echo Park,2025-08-06 22:17:47
